Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.1991,528.88,RENT,175000,Verified,credit_card,14.02,1,0,19099,0.663,Paid
0.079,876.13,MORTGAGE,320000,Verified,home_improvement,14.5,0,0,36848,0.388,Paid
0.1427,280.91,MORTGAGE,80000,Not Verified,debt_consolidation,5.2,0,0,4614,0.052,Paid
0.1864,291.8,MORTGAGE,114000,Not Verified,debt_consolidation,11.36,0,1,11766,0.469,Paid
0.1465,344.95,RENT,43000,Source Verified,wedding,8.62,0,0,4816,0.388,Paid
0.1171,353.58,RENT,48000,Source Verified,credit_card,14.3,0,0,17034,0.796,Paid
0.0603,517.41,MORTGAGE,110000,Verified,debt_consolidation,9.47,0,0,2498,0.167,Paid
0.1527,173.99,MORTGAGE,54000,Source Verified,home_improvement,14.71,0,0,3340,0.795,Notpaid
0.1527,69.6,RENT,62000,Source Verified,debt_consolidation,0.87,0,0,256,0.427,Paid
0.0603,304.36,OWN,50000,Source Verified,debt_consolidation,13.18,0,0,7054,0.108,Paid
0.0991,145.02,RENT,39000,Not Verified,debt_consolidation,11.09,0,0,7298,0.45,Paid
0.1758,147.37,RENT,44000,Source Verified,vacation,12.86,0,0,1897,0.998,Paid
0.1349,142.51,MORTGAGE,43200,Not Verified,other,15.5,0,0,6524,0.522,Paid
0.0991,386.7,RENT,58000,Not Verified,debt_consolidation,6.41,0,0,1525,0.056,Paid
0.1825,459.54,MORTGAGE,78000,Verified,credit_card,14.6,1,0,7747,0.833,Paid
0.2206,967.86,RENT,120000,Verified,debt_consolidation,16.82,0,0,67761,0.811,Notpaid
0.1629,353.01,MORTGAGE,53000,Verified,debt_consolidation,15.58,1,0,9496,0.613,Paid
0.0603,91.31,RENT,30000,Not Verified,other,15.72,0,0,12600,0.331,Paid
0.089,140.51,RENT,60000,Source Verified,debt_consolidation,2.94,0,0,4397,0.628,Paid
0.0751,871.11,MORTGAGE,180000,Verified,home_improvement,8.52,0,0,13247,0.248,Paid
0.1349,805.17,OWN,95000,Verified,home_improvement,0.64,0,0,1265,0.018,Paid
0.0662,368.45,MORTGAGE,53000,Source Verified,debt_consolidation,22.75,0,0,11742,0.384,Notpaid
0.1465,165.58,MORTGAGE,46525,Not Verified,debt_consolidation,13.49,0,0,7242,0.439,Notpaid
0.089,76.21,RENT,82500,Source Verified,other,13.56,0,0,21826,0.573,Paid
0.1171,1035.28,MORTGAGE,58000,Verified,small_business,18.58,0,0,3712,0.184,Paid
0.1942,844.06,MORTGAGE,64480,Verified,debt_consolidation,20.99,1,0,17264,0.725,Paid
0.089,95.26,RENT,62000,Not Verified,credit_card,16.05,0,0,16753,0.361,Paid
0.079,125.17,MORTGAGE,39000,Not Verified,debt_consolidation,9.91,0,0,432,0.045,Notpaid
0.1269,503.18,MORTGAGE,42655.8,Verified,debt_consolidation,5.94,0,0,7475,0.712,Notpaid
0.0662,147.38,MORTGAGE,65000,Source Verified,debt_consolidation,6.96,0,0,4913,0.253,Paid
0.1269,483.05,MORTGAGE,115000,Source Verified,home_improvement,12.55,0,0,7847,0.188,Paid
0.089,222.28,OWN,160000,Source Verified,debt_consolidation,20.75,0,0,117243,0.481,Paid
